gene_id	gene_name	gene_type
ENSG00000259673.4	708	lincRNA
ENSG00000259687.1	255	lincRNA
ENSG00000259711.1	318	lincRNA
ENSG00000259725.1	289	lincRNA
ENSG00000259772.5	659	lincRNA
ENSG00000259807.1	349	lincRNA
ENSG00000259820.1	670	lincRNA
ENSG00000259834.1	924	lincRNA
ENSG00000259865.1	1519	lincRNA
ENSG00000259884.1	277	lincRNA
ENSG00000259959.1	383	lincRNA
ENSG00000259976.1	1415	lincRNA
ENSG00000259989.1	194	lincRNA
ENSG00000260011.2	162	lincRNA
ENSG00000260025.1	662	lincRNA
ENSG00000260032.1	1530	lincRNA
ENSG00000260077.1	1045	lincRNA
ENSG00000260091.1	661	lincRNA
ENSG00000260101.1	852	lincRNA
ENSG00000260135.5	453	lincRNA
ENSG00000260136.4	870	lincRNA
ENSG00000260166.1	174	lincRNA
ENSG00000260186.4	313	lincRNA
ENSG00000260193.1	225	lincRNA
ENSG00000260197.1	295	lincRNA
ENSG00000260219.2	1392	lincRNA
ENSG00000260257.2	1404	lincRNA
ENSG00000260259.1	245	lincRNA
ENSG00000260260.1	1533	lincRNA
ENSG00000260261.1	429	lincRNA
ENSG00000260265.1	285	lincRNA
ENSG00000260274.1	777	lincRNA
ENSG00000260303.1	205	lincRNA
ENSG00000260306.1	158	lincRNA
ENSG00000260317.1	562	lincRNA
ENSG00000260404.2	1002	lincRNA
ENSG00000260417.1	305	lincRNA
ENSG00000260418.1	668	lincRNA
ENSG00000260423.1	193	lincRNA
ENSG00000260448.4	594	lincRNA
ENSG00000260517.2	262	lincRNA
ENSG00000260558.1	180	lincRNA
ENSG00000260563.3	1397	lincRNA
ENSG00000260588.1	177	lincRNA
ENSG00000260646.1	194	lincRNA
ENSG00000260693.1	166	lincRNA
ENSG00000260698.1	162	lincRNA
ENSG00000260710.1	338	lincRNA
ENSG00000260778.3	739	lincRNA
ENSG00000260804.3	1215	lincRNA
ENSG00000260805.2	524	lincRNA
ENSG00000260807.5	313	lincRNA
ENSG00000260808.1	309	lincRNA
ENSG00000260810.1	286	lincRNA
ENSG00000260837.1	309	lincRNA
ENSG00000260877.1	183	lincRNA
ENSG00000260884.1	571	lincRNA
ENSG00000260896.4	315	lincRNA
ENSG00000260911.2	622	lincRNA
ENSG00000260953.1	266	lincRNA
ENSG00000260955.2	252	lincRNA
ENSG00000260979.1	470	lincRNA
ENSG00000261000.1	364	lincRNA
ENSG00000261008.5	226	lincRNA
ENSG00000261039.2	475	lincRNA
ENSG00000261064.1	430	lincRNA
ENSG00000261068.2	350	lincRNA
ENSG00000261069.3	232	lincRNA
ENSG00000261087.1	715	lincRNA
ENSG00000261098.1	359	lincRNA
ENSG00000261159.1	595	lincRNA
ENSG00000261172.1	327	lincRNA
ENSG00000261218.4	783	lincRNA
ENSG00000261220.2	1116	lincRNA
ENSG00000261326.2	776	lincRNA
ENSG00000261353.1	1276	lincRNA
ENSG00000261386.2	617	lincRNA
ENSG00000261423.1	372	lincRNA
ENSG00000261433.1	169	lincRNA
ENSG00000261455.1	1478	lincRNA
ENSG00000261474.1	1348	lincRNA
ENSG00000261512.2	686	lincRNA
ENSG00000261526.2	1453	lincRNA
ENSG00000261618.1	223	lincRNA
ENSG00000261673.1	155	lincRNA
ENSG00000261754.2	201	lincRNA
ENSG00000261770.1	233	lincRNA
ENSG00000261775.1	336	lincRNA
ENSG00000261824.5	827	lincRNA
ENSG00000261888.1	240	lincRNA
ENSG00000261889.1	321	lincRNA
ENSG00000261996.1	276	lincRNA
ENSG00000261997.1	288	lincRNA
ENSG00000262089.1	1484	lincRNA
ENSG00000262098.1	268	lincRNA
ENSG00000262155.1	343	lincRNA
ENSG00000262202.4	385	lincRNA
ENSG00000262228.2	156	lincRNA
ENSG00000262370.4	850	lincRNA
ENSG00000262454.1	539	lincRNA
ENSG00000262468.4	1057	lincRNA
ENSG00000262477.1	271	lincRNA
ENSG00000262663.1	370	lincRNA
