gene_id	score	gene_type
ENSG00000025434.17	2.958369044	protein_coding
ENSG00000110245.10	2.957927506	protein_coding
ENSG00000101166.14	2.957399569	protein_coding
ENSG00000163568.12	2.957325527	protein_coding
ENSG00000187546.12	2.957290207	protein_coding
ENSG00000196453.7	2.957098972	protein_coding
ENSG00000125618.15	2.956835207	protein_coding
ENSG00000082146.11	2.955984642	protein_coding
ENSG00000256453.1	2.955133849	protein_coding
ENSG00000244045.9	2.955119318	protein_coding
ENSG00000107719.8	2.953984175	protein_coding
ENSG00000003989.15	2.95382032	protein_coding
ENSG00000162526.6	2.953010763	protein_coding
ENSG00000066813.13	2.952773483	protein_coding
ENSG00000184635.12	2.95223677	protein_coding
ENSG00000010404.16	2.951732288	protein_coding
ENSG00000162692.9	2.951563166	protein_coding
ENSG00000222046.2	2.950476148	protein_coding
ENSG00000188997.6	2.950057617	protein_coding
ENSG00000125630.14	2.949932538	protein_coding
ENSG00000124406.15	2.949778987	protein_coding
ENSG00000100422.12	2.949672682	protein_coding
ENSG00000178821.11	2.949119813	protein_coding
ENSG00000176495.2	2.948984345	protein_coding
ENSG00000262180.1	2.948373599	protein_coding
ENSG00000146963.16	2.94640822	protein_coding
ENSG00000161609.8	2.946063641	protein_coding
ENSG00000272896.1	2.945032705	protein_coding
ENSG00000130766.4	2.944821396	protein_coding
ENSG00000256235.1	2.944763394	protein_coding
ENSG00000127083.7	2.944571665	protein_coding
ENSG00000249319.2	2.944326714	protein_coding
ENSG00000214753.2	2.94389503	protein_coding
ENSG00000279132.1	2.94385957	protein_coding
ENSG00000130545.14	2.943747944	protein_coding
ENSG00000145850.7	2.943694223	protein_coding
ENSG00000236737.1	2.943368	protein_coding
ENSG00000108515.16	2.943143452	protein_coding
ENSG00000116747.11	2.942009467	protein_coding
ENSG00000184517.10	2.94039959	protein_coding
ENSG00000106927.10	2.940314881	protein_coding
ENSG00000275969.2	2.940156185	protein_coding
ENSG00000141977.8	2.939525743	protein_coding
ENSG00000185551.11	2.939367152	protein_coding
ENSG00000253548.1	2.938770762	protein_coding
ENSG00000130287.12	2.938525134	protein_coding
ENSG00000171817.15	2.937279146	protein_coding
ENSG00000255730.3	2.935746869	protein_coding
ENSG00000107249.20	2.935424199	protein_coding
ENSG00000183508.4	2.935252842	protein_coding
ENSG00000170142.10	2.935188086	protein_coding
ENSG00000069696.6	2.934772489	protein_coding
ENSG00000204020.5	2.934416108	protein_coding
ENSG00000132704.14	2.934271457	protein_coding
ENSG00000148516.20	2.934093601	protein_coding
ENSG00000215203.2	2.934088619	protein_coding
ENSG00000102383.12	2.933627963	protein_coding
ENSG00000183631.4	2.933608099	protein_coding
ENSG00000140854.11	2.933471309	protein_coding
ENSG00000100100.11	2.933375277	protein_coding
ENSG00000168000.13	2.933282744	protein_coding
ENSG00000117305.13	2.933076739	protein_coding
ENSG00000160999.10	2.933022957	protein_coding
ENSG00000126775.8	2.932755274	protein_coding
ENSG00000139190.15	2.9319196	protein_coding
ENSG00000175745.10	2.931905218	protein_coding
ENSG00000187147.16	2.931823114	protein_coding
ENSG00000160877.5	2.93156736	protein_coding
ENSG00000119547.5	2.930646078	protein_coding
ENSG00000164574.14	2.930364578	protein_coding
ENSG00000204983.11	2.930315552	protein_coding
ENSG00000174876.15	2.930172998	protein_coding
ENSG00000157227.11	2.929422195	protein_coding
ENSG00000108684.13	2.929048276	protein_coding
ENSG00000162747.8	2.928626596	protein_coding
ENSG00000005981.11	2.928339028	protein_coding
ENSG00000188581.8	2.928148594	protein_coding
ENSG00000167644.10	2.927925874	protein_coding
ENSG00000141696.11	2.926916583	protein_coding
ENSG00000168237.16	2.926189778	protein_coding
ENSG00000137693.12	2.925489481	protein_coding
ENSG00000176731.10	2.925327189	protein_coding
ENSG00000159352.14	2.92510074	protein_coding
ENSG00000168566.11	2.924965647	protein_coding
ENSG00000105472.11	2.924627672	protein_coding
ENSG00000182196.12	2.92371341	protein_coding
